"supervision_total","blackcard_total","ecommerce_total","order_count","total_price","city_id","gender","refund_fee","last_buytime","churn"
"0","0","1000","1","1000","3501",,"0","1620407478","0"
"0","0","499","1","499","4307",,"0","1623715900","0"
"0","0","9400","2","9400","0101",,"0","1616292667","0"
"0","0","2926","3","2926","4403",,"0","1617671512","0"
"0","0","1580","1","1580","4101",,"0","1605758446","0"
"0","0","16902","11","16902","5301","1","0","1620321107","0"
"0","0","5179","3","5179","3211","1","0","1603130435","0"
"0","0","5910","4","5910","5101","1","0","1621275073","0"
"0","0","399","1","399","2201","1","0","1610413866","0"
"0","0","9460","3","9460","3201","1","0","1607367644","0"
"0","0","4900","1","4900","3707","1","0","1611015077","0"
"0","0","1059.5","1","1059.5","4403","1","0","1623723069","0"
"0","0","500","1","500","6101","1","0","1620616271","0"
"0","0","1749","1","1749","3201","1","0","1623294687","0"
"0","0","515","1","515","4201","1","0","1614917495","0"
"0","0","21053","6","21053","5001","1","0","1622430705","0"
"0","0","6501","2","6501","4401","2","0","1623366712","0"
"0","0","20547","11","20547","4302","2","0","1618179099","0"
"0","0","2948","3","2948","3301","2","0","1617988293","0"
"0","0","2050","4","2050","4301","2","0","1610597478","0"
"0","0","439","1","439","5309","2","0","1615860718","0"
"0","0","1000","1","1000","4301","2","0","1614543082","0"
"0","0","2117","6","2117","1201","2","0","1604026851","0"
"0","0","7688","1","7688","1201","2","0","1604365223","0"
"0","0","1196","1","1196","6101","2","0","1623384703","0"
"0","0","7438","2","7438","0201","2","0","1604538049","0"
"0","0","21326","8","21326","4401","2","0","1623363065","0"
"0","0","1000","1","1000","4201","2","0","1620346315","0"
"0","0","8599","1","8599","3701","2","0","1615338663","0"
"0","0","1899","1","1899","5001","2","0","1620234701","0"
"0","0","6148","2","6148","4302","2","0","1622430717","0"
"0","0","2480","1","2480","0101","2","0","1623701487","0"
"0","0","249","1","249","4404","1","0","1617243116","0"
"0","0","4139","1","4139","0101","1","0","1604354418","0"
"0","0","1299","1","1299","3203","1","0","1618247507","0"
"0","0","4999","1","4999","6301","1","0","1622419884","0"
"0","0","900","1","900","3301","1","0","1623784264","0"
"0","0","1390","2","1390","4101","1","0","1615839073","0"
"0","0","10599","1","10599","0201","1","0","1621192302","0"
"0","0","2170","1","2170","0201","1","0","1623121896","0"
"0","0","6499","3","6499","5001","1","0","1620940264","0"
"0","0","549","1","549","1305","1","0","1620436261","0"
"0","0","2677","2","2677","3505","1","0","1617315097","0"
"0","0","229","1","229","3210","2","0","1597010420","0"
"0","0","2729","5","2729","5301","2","0","1623359468","0"
"0","0","10524","4","10524","4419","2","0","1620616287","0"
"0","0","1696","2","1696","0201","2","0","1607450429","0"
"0","0","895","1","895","5301","2","0","1620425493","0"
"0","0","13096","3","13096","0201","1","0","1623291078","0"
"0","0","214","1","214","3201","1","0","1608145201","0"
"0","0","129","1","129","5101","1","0","1606694411","0"
"0","0","11192","2","11192","2101","1","0","1621213900","0"
"0","0","4260","2","4260","4301","1","0","1606935657","0"
"0","0","12186","3","12186","4408","1","0","1610932293","0"
"0","0","3599","2","3599",,"1","0","1621041092","0"
"0","0","1000","1","1000","0101","1","0","1617315064","0"
"0","0","2305","2","2305","5101","1","0","1621987862","0"
"0","0","966","2","966","4404","1","0","1617221469","0"
"0","0","4999","1","4999","3401","2","0","1614564718","0"
"0","0","5660","3","5660","3205","2","0","1618805466","0"
"0","0","9528.96","7","9528.96","2301","2","0","1610583084","0"
"0","0","5898","1","5898","4401","2","0","1621563064","0"
"0","0","4800","1","4800","3306","2","0","1605063631","0"
"0","0","10898","1","10898","1310","2","0","1602475226","0"
"0","0","699","1","699","5101","2","0","1597197648","0"
"0","0","13759","2","13759","0201","2","0","1618625506","0"
"0","0","3468","7","3468","6101","2","0","1608145216","0"
"0","0","1000","1","1000","3301","2","0","1617297103","0"
"0","0","499","1","499","3304","2","0","1605204035","0"
"0","0","3598","1","3598","0201","2","0","1614705087","0"
"0","0","1999","1","1999","4420","2","0","1623283890","0"
"0","0","12831","4","12831","3418","2","0","1607014829","0"
"0","0","1000","1","1000","0101","2","0","1615774291","0"
"0","0","2273.5601","2","2273.5601","3416","1","0","1622502716","0"
"0","0","888","1","888","0201","1","0","1618197119","0"
"0","0","1902","4","1902","3416","1","0","1620353496","0"
"0","0","10599","1","10599","3210","1","0","1621563062","0"
"0","0","10998","1","10998","4403","1","0","1602792008","0"
"0","0","1563","2","1563","5111","1","0","1622679062","0"
"0","0","1001","2","1001","0201","1","0","1620958317","0"
